Case,Score,SLL_dB,FWHM_x,FWHM_y,FWHM_sum,Eccentricity,Generations,Mut_per_gen,Sigma,Weights,Time_s
Random,-4.642787557832242,-6.911928983685604,10.944377915764447,10.703242025252681,21.647619941017126,0.20875886350329603,50,50,50.0,"w_sll=1.0, w_fwhm=0.1, w_ecc=0.5",74.724
Circular,-6.526523243235102,-8.708561355317622,10.910190560412596,10.910190560412596,21.820381120825193,0.0,50,50,50.0,"w_sll=1.0, w_fwhm=0.1, w_ecc=0.5",77.077
Y-array,-4.426016086807777,-7.373679902254273,14.323216790766494,13.733597290256421,28.056814081022914,0.2839648146884105,50,50,50.0,"w_sll=1.0, w_fwhm=0.1, w_ecc=0.5",74.0
